Name,Address,Phone,Emails,Website
El Castillo De Jagua,"113 Rivington St, New York, NY 10002, USA",(212) 982-6412,,https://www.castillodejagua2.com/
Mitr Thai Restaurant,"37 W 46th St, New York, NY 10036-4123, USA",(212) 466-6699,info@mitrthainyc.com,http://mitrthainyc.com/
Essex Pearl,"25 11th Ave, New York, NY 10011, USA",(347) 899-4998,info@EssexPearl.com,https://www.essexpearl.com/
Empanadas Cafe,"5627 Van Doren St, Corona, NY 11368, USA",(718) 592-7288,,http://www.empanadascafe.com/
Mango Mango Dessert,"136-28 39th Ave, Flushing, NY 11354, USA",(917) 563-1847,,https://www.mangomangodessert.com/
Fu Yuan,"135-43 Roosevelt Ave, Flushing, NY 11354, USA",(347) 732-9882,,
Very Fresh Noodles,"409 W 15th St, New York, NY 10011, USA",(332) 215-6161,,http://www.veryfreshnoodles.com/
Pata Cafe,"56-14 Van Horn St, Elmhurst, NY 11373, USA",(347) 469-7142,,https://www.facebook.com/Pata-Cafe-1631945920391968/
Copacabana,"31-13 36th Ave, Astoria, NY 11106, USA",(718) 545-3685,,http://www.copacabanabraziliangrill.com/index.html
Radio Bakery,"135 India St, Brooklyn, NY 11222, USA",,,http://radiobakery.nyc/
Hanamizuki Cafe,"143 W 29th St, New York, NY 10001, USA",(212) 695-5533,info@hanamizukinyc.com,http://www.hanamizukinyc.com/
Birria LES Saint Marks Place,"34 St Marks Pl, New York, NY 10003, USA",(917) 262-0970,,
Hady's Restaurant International Cuisine,"717 E Martin St Suite 199, Raleigh, NC 27601, USA",(919) 741-1111,info@hadyinternational.com,https://hadyinternational.com/
Jing Feng Fish Ball Inc.,"41-40 Main St, Flushing, NY 11355, USA",(718) 888-9839,,
"Nan Xiang Express - Williamsburg, NY","167 Grand St, Brooklyn, NY 11249-4294, USA",(347) 799-1078,,https://nanxiangexpress.com/
Chubby Skewers｜Authentic Chinese BBQ,"252 W 37th St, New York, NY 10018-6602, USA",(646) 650-3834,,https://chubbyskewers.com/locations/chubby-skewers-manhattan/
Eyval,"25 Bogart St, Brooklyn, NY 11206-3805, USA",,events@eyvalnyc.com info@evyalnyc.com info@eyvalnyc.com reservations@eyvalnyc.com,http://www.eyvalnyc.com/
Izakaya MEW,"53 W 35th St, New York, NY 10001, USA",(646) 368-9459,,http://mewnyc.com/
West New Malaysia,"69 Bayard St, New York, NY 10013, USA",(212) 964-0284,w.n.malaysiarestaurant@gmail.com,https://westnewmalaysia.org/
Urban Jungle,"118 Knickerbocker Ave, Brooklyn, NY 11237, USA",(718) 456-0762,ltrainvintagenyc@gmail.com user@domain.com,http://ltrainvintagenyc.com/
969 NYC Coffee,"3761 80th St, Jackson Heights, NY 11372, USA",(646) 203-7304,,https://969nyccoffee.shop/
375° Chicken 'n Fries,"649 9th Ave, New York, NY 10036, USA",(646) 866-7035,,https://www.375chicken.com/
Nneji,"32-20 34th Ave, Queens, NY 11106, USA",(917) 832-7338,,
sendo,"876 6th Ave 1st Floor, New York, NY 10001-3516, USA",(646) 943-4548,team@sendo.nyc,https://sendo.nyc/
Ray's Candy Store,"113 Avenue A, New York, NY 10009, USA",,,http://www.rayscandystore.com/
Samossa Bites,"3527 31st St, Astoria, NY 11106, USA",(718) 606-9150,customerservice@samossabites.com,https://www.samossabites.com/
Grand Street Skewer Cart,"246 Grand St, New York, NY 10002, USA",,,
Cocoron,"16 Delancey St, New York, NY 10002, USA",(212) 477-1212,goemoncurry@gmail.com,https://www.cocoronandgoemon.com/
Chavela's,"736 Franklin Ave, Brooklyn, NY 11238, USA",(718) 622-3100,,http://chavelasnyc.com/
Cơm Tấm Ninh Kiều,"2641 Jerome Ave, Bronx, NY 10468, USA",(718) 450-3833,,http://toasttab.com/com-tam-ninh-kieu-2641-jerome-ave
Broad Nosh Bagels Deli & Catering 58th Street,"314 W 58th St, New York, NY 10019, USA",(212) 933-4844,,https://broadnosh.com/
Mrs. Fish,"34 Pell St, New York, NY 10013, USA",(212) 267-8885,,
Wondee Siam,"782 9th Ave, New York, NY 10019, USA",(212) 459-9057,,http://www.wondeesiamnyc.com/
Jora,"47-46 11th St, Long Island City, NY 11101, USA",(718) 392-2033,,http://www.jorany.com/
Iki,"133-42 39th Ave STE H04, Flushing, NY 11354, USA",(718) 939-3388,info@ikicuisine.com,http://ikirestaurant.com/
Hometown Bar-B-Que,"454 Van Brunt St, Brooklyn, NY 11231, USA",(347) 294-4644,info@hometownbbq.com,http://www.hometownbarbque.com/
Berimbau Brazilian Kitchen - West Village,"43 Carmine St, New York, NY 10014, USA",(212) 401-0021,,https://www.berimbaunyc.com/
Lulu and Dino Cafe Bakery,"219-02 Northern Blvd, Bayside, NY 11361-3582, USA",(718) 734-2740,info@luludinocafe.com Info@luludinocafe.com,http://luludinocafe.com/
HAGS,"163 1st Ave, New York, NY 10003-2927, USA",,no-reply@readymag.com support@readymag.com edu@readymag.com hello@readymag.com,https://hagsnyc.com/
Alabaster Bookshop,"122 4th Ave, New York, NY 10003, USA",(212) 982-3550,,
Shu Jiao Fu Zhou,"295 Grand St, New York, NY 10002, USA",(212) 625-2532,,
Chick Rocks Inc,"136-20 Roosevelt Ave #25, Flushing, NY 11354-5661, USA",(347) 368-6181,,
Pecking House Prospect Heights,"244 Flatbush Ave, Brooklyn, NY 11217, USA",(718) 269-3452,,http://www.peckinghouse.com/
Kung Fu Little Steamed Buns Ramen,"146 E 55th St, New York, NY 10022, USA",(212) 804-8556,,https://kungfutogo.com/
Madame Vo,"212 E 10th St, New York, NY 10003, USA",(917) 261-2115,hello@madamevonyc.com,http://www.madamevo.com/
Om Wok,"89-17 Northern Blvd, Jackson Heights, NY 11372, USA",(718) 639-8800,,https://www.omwokmenu.com/
Yamato Japanese Restaurant,"857 E Grant Rd, Tucson, AZ 85719, USA",(520) 624-3377,,https://m.facebook.com/pages/category/Sushi-Restaurant/Yamato-Japanese-Restaurant-143320342346509/
Rice Thief,"39-37 30th St, Long Island City, NY 11101-2805, USA",(917) 832-7108,,https://www.instagram.com/ricethief.nyc
Monster DIY Studio,"136-91 37th Ave, Flushing, NY 11354-4110, USA",(347) 626-9393,,http://monsterdiy.com/
Kong Sihk Tong,"65 Bayard St, New York, NY 10013, USA",(646) 850-6140,Artboard-2@4x.png Artboard-1@4x.png,https://kongsihktong.com/
Nikos,"BrightLeaf Square, 905 W Main St Unit 21B, Durham, NC 27701, USA",(305) 562-4796,info@nikosdurham.com,https://www.nikosdurham.com/
Soothr,"204 E 13th St, New York, NY 10003, USA",(212) 844-9789,,http://soothrnyc.com/
OTB,"141 Broadway, Brooklyn, NY 11211, USA",(347) 763-1481,otbbrooklyn@gmail.com,http://www.otbbk.com/
Namaste,"195 5th Ave, Brooklyn, NY 11217, USA",(718) 857-1951,,http://www.namastebk.com/
Two Boots Pizza East Village,"42 Avenue A, New York, NY 10009, USA",(212) 254-1919,shadow@2x.png,https://www.twoboots.com/
Naks,"201 1st Ave, New York, NY 10003, USA",,Resy-Box-Logo-Red@2x.png events@uafoods.nyc,http://naks.nyc/
District Saigon,"3715 Broadway, Astoria, NY 11103, USA",(718) 956-0007,,http://www.districtsaigonnyc.com/
Avant Gardner,"140 Stewart Ave, Brooklyn, NY 11237-1127, USA",(347) 987-3146,,https://www.avant-gardner.com/
Bunlicious,"42-05 35th Ave, Long Island City, NY 11101-1445, USA",(929) 208-0027,,https://www.bunliciousny.com/
Pranakhon,"88 University Pl, New York, NY 10003, USA",(212) 786-6789,,https://pranakhonnyc.com/
The Hideout Chai Bar,"42 Rivington St, New York, NY 10002, USA",(646) 649-5868,,http://thehideoutnyc.com/
Brodo - East Village,"200 1st Ave, New York, NY 10009, USA",,,http://brodo.com/
Sybil's Bakery & Restaurant,"159-24 Hillside Ave., Jamaica, NY 11432, USA",(718) 297-2359,,
Mắm,"70 Forsyth St, New York, NY 10002-5149, USA",,,https://instagram.com/mam.nyc
Golden Diner,"123 Madison St, New York, NY 10002, USA",(917) 472-7800,talkto@goldendinerny.com,http://www.goldendinerny.com/
Pier 17,"89 South St, New York, NY 10038, USA",(212) 732-8257,,https://rooftopatpier17.com/
Foxface Natural,"189 Avenue A, New York, NY 10009, USA",(646) 270-1449,info@foxface.nyc henry.june@gmail.com,http://foxface.nyc/
Renee's Kitchenette & Grill,"69-14 Roosevelt Ave, Woodside, NY 11377-2934, USA",(718) 476-9002,,http://www.reneeskitchenette.com/
French Louie,"320 Atlantic Ave, Brooklyn, NY 11201, USA",(718) 935-1200,info@frenchlouienyc.com john@frenchlouienyc.com,http://frenchlouienyc.com/
Cask Bar & Kitchen,"167 E 33rd St, New York, NY 10016, USA",(212) 300-4924,info@casknyc.com,http://casknyc.com/
Southern Junction,"365 Connecticut St, Buffalo, NY 14213, USA",(716) 262-0575,,https://southernjunction716.com/
Pochana Thai Kitchen,"33-16 30th Ave., Astoria, NY 11103, USA",(718) 956-9559,pochananyc@gmail.com,http://pochananyc.com/
The Met Cloisters,"99 Margaret Corbin Dr, New York, NY 10040, USA",(212) 923-3700,,https://www.metmuseum.org/plan-your-visit/met-cloisters
Omusubi Gonbei,"370 Lexington Ave, New York, NY 10017, USA",(917) 472-7025,,http://www.omusubi-gonbei.com/en/
Calle Dao,"38 W 39th St, New York, NY 10018, USA",(646) 476-5696,,https://www.calledao.com/location/calle-dao-bryant-park/
Nan Xiang Xiao Long Bao,"24 W 33rd St, New York, NY 10001, USA",(212) 970-3888,,https://nanxiangxiaolongbao.com/?utm_source=gbp&utm_medium=organic&utm_content=ktown
KOHOKU-KU RAMEN,"709 9th Ave, New York, NY 10019, USA",(646) 478-7886,,https://www.kohoku-kuramen.com/%E3%83%8B%E3%83%A5%E3%83%BC%E3%83%A8%E3%83%BC%E3%82%AF-new-york
Donovan's Pub,"57-24 Roosevelt Ave, Woodside, NY 11377, USA",(718) 429-9339,info@donovansny.com info@divicocktailbar.com,http://donovansny.com/
S Wan Cafe,"85 Eldridge St, New York, NY 10002, USA",(212) 966-8269,,
Dominique Ansel Workshop,"17 E 27th St, New York, NY 10016, USA",(212) 901-1015,,http://dominiqueanselworkshop.com/
Calabash African Kitchen,"1750 S Rainbow Blvd Suite 6-8, Las Vegas, NV 89146, USA",(702) 331-6440,,http://www.calabashafricankitchen.com/
Pasticceria Monteleone BK,"355 Court St, Brooklyn, NY 11231-4332, USA",(718) 852-5600,,
Theodora,"7 Greene Ave, Brooklyn, NY 11238, USA",(929) 692-6360,info@theodoranyc.com,https://www.theodoranyc.com/
The Dolar Shop Hot Pot Manhattan,"55 3rd Ave, New York, NY 10003, USA",(646) 590-0034,,https://www.dolarshop.com/location/manhattan-location
Dim Sum Palace,"334 W 46th St, New York, NY 10036-3883, USA",(646) 861-1910,,https://www.dimsumpalace.com/
Witch Topokki Flushing,"146th Northern Blvd, Flushing, NY 11354-4234, USA",,info@witchtopokki.com,https://witchtopokki.com/
LumLum,"404 W 49th St, New York, NY 10019, USA",(646) 684-4618,INFO@LUMLUMNYC.COM,http://www.lumlumnyc.com/
Phayul,"37-65 74th St., Jackson Heights, NY 11372, USA",(718) 424-1869,,
Sanuki Udon,"31 W 4th St, New York, NY 10012, USA",(917) 310-0313,,https://www.sanukiudonusa.com/
Hug Esan,"77-16 Woodside Ave, Elmhurst, NY 11373, USA",(929) 328-0392,Hugesannyc@gmail.com,http://www.hugesannyc.net/
Mile End Delicatessen,"97 Hoyt St, Brooklyn, NY 11217-2216, USA",(718) 852-7510,,http://www.mileenddeli.com/
West Rice Roll King 西关肠粉王,"124 Hester St, New York, NY 10002, USA",(646) 830-2437,,
Coffee Project New York | Chelsea,"155 7th Ave, New York, NY 10011-1815, USA",(917) 388-3399,,https://coffeeprojectny.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_ch
Mazzola Bakery,"192 Union St, Brooklyn, NY 11231-3502, USA",(718) 643-1719,,http://www.mazzolabakerycafe.com/
C as in Charlie,"5 Bleecker St, New York, NY 10012-2445, USA",,CHARLIE@C-ASINCHARLIE.COM charlie@c-asincharlie.com CASINCHARLIE@BECCAPR.COM,http://c-asincharlie.com/
Sopo Korean Eats,"463 7th Ave, Manhattan, NY 10018, USA",(929) 668-7781,CONTACT@EATSOPO.COM contact@eatsopo.com catering@eatsopo.com,https://eatsopo.com/
ILIS,"150 Green St, Brooklyn, NY 11222, USA",(917) 274-7154,hello@ilisnyc.com press@ilisnyc.com,https://ilisnyc.com/
Gazala’s Mediterranean Restaurant,"447 Amsterdam Ave, New York, NY 10024, USA",(212) 787-1800,,http://gazalasnyc.com/
Nan Xiang Soup Dumplings - Flushing,"39-16 Prince St #104, Flushing, NY 11354, USA",(718) 321-3838,,https://nanxiangxiaolongbao.com/?utm_source=gbp&utm_medium=organic&utm_content=flushing
KoFoo,"67 W 23rd St, New York, NY 10010-4200, USA",(212) 924-2654,,http://www.kofoony.com/
Churrascaria Plataforma,"316 W 49th St, New York, NY 10019-7391, USA",(212) 245-0505,info@plataformanyc.com,https://plataformaonline.com/
Saranrom Thai,"8110 Broadway, Elmhurst, NY 11373, USA",(347) 808-0545,,https://saranromthai.dine.online/
Cafe W & Bakery / Dessert,"35-29 154th St, Queens, NY 11354, USA",(718) 799-0264,order@cafew.com management@cafew.com,https://cafew.com/
Aroma Latin American Cocina,"2877 N Green Valley Pkwy, Henderson, NV 89014, USA",(702) 547-0474,,https://aromacocinalv.com/
Scoop Local,"900 W Main St, Durham, NC 27701-2025, USA",(919) 213-1769,,
The Brooklyn Cat Cafe,"76 Montague St, Brooklyn, NY 11201, USA",(347) 946-2286,,http://www.catcafebk.com/
Kashin Japanese Restaurant,"309 Crossroads Blvd, Cary, NC 27518, USA",(919) 851-7101,,http://www.kashin.com/
Çka Ka Qëllue,"118 E 31st St, New York, NY 10016, USA",(212) 213-2082,info@ckakaqellu.com,https://ckakaqellue.com/
Vezzo NYC Thin Crust Pizza,"178 Lexington Ave, New York, NY 10016, USA",(212) 839-8300,,https://www.nycthincrust.com/location/vezzo-thin-crust/
Tomi Jazz,"239 E 53rd St, New York, NY 10022, USA",,,http://www.tomijazz.com/
Ama’Gees Jamaican Cuisine,"911 Fayetteville St, Durham, NC 27701-3914, USA",(919) 450-6351,,http://amagees.com/
Meijin Ramen,"1574 2nd Ave, New York, NY 10028, USA",(212) 327-2800,meijinramen@gmail.com,https://www.meijinramen.com/
Happy Zoe Vegan Bakery,"102 B Nassau Ave, Brooklyn, NY 11222, USA",(718) 785-9639,happyzoeveganbakery@gmail.com,https://www.happyzoeveganbakery.com/
Homemade Dumpling,"27 Essex St A, New York, NY 10002, USA",(917) 868-1561,,
Kalye Broome,"251 Broome St, New York, NY 10002, USA",(646) 422-7267,info@kalyenyc.com,https://www.kalye.com/
Teranga Cafe,"1280 5th Ave, New York, NY 10029, USA",(332) 910-8138,,http://www.itsteranga.com/
Nepali Bhanchha Ghar,"74-15 Roosevelt Ave, Jackson Heights, NY 11372, USA",(917) 745-0533,,https://www.bhanchhagharny.com/
Kimura,"31 St Marks Pl, New York, NY 10003, USA",(917) 905-1864,Kimura.press@gmail.com,https://www.kimuranyc.com/
Zuma New York,"261 Madison Ave, New York, NY 10016, USA",(212) 544-9862,,https://www.zumarestaurant.com/en/new-york?utm_source=InfoButtonClick&utm_medium=Home&utm_campaign=GoogleBusinessProfile
konban NYC,"311 W 17th St, New York, NY 10011-5071, USA",(917) 675-6070,hello@konbannyc.com,https://www.konbannyc.com/
Sylla,"1664 Park Ave, New York, NY 10035, USA",(646) 344-1392,,
Loopy's Eatery,"156 W 29th St, New York, NY 10001, USA",(212) 381-0060,contact@loopyseatery.com,https://loopyseatery.com/
Philomena's Pizza,"4116 Queens Blvd, Sunnyside, NY 11104, USA",(718) 255-1778,,http://philomenasqueens.com/
The Mark Hotel,"25 E 77th St, New York, NY 10075, USA",(212) 744-4300,reservations@themarkhotel.com,https://www.themarkhotel.com/?utm_source=gmb&utm_medium=organic
cutes house,"18-19 College Point Blvd, Queens, NY 11356-2220, USA",(929) 988-1017,,
CAFE 2BY2,"84 E 10th St 2nd FL, New York, NY 10003-5400, USA",(646) 565-1355,,
Sobaya,"229 E 9th St, New York, NY 10003-7536, USA",(212) 533-6966,info@sobaya-nyc.com,http://www.sobaya-nyc.com/
Koi Omakase,"55 5th Ave, Brooklyn, NY 11217-2040, USA",(917) 728-7563,Koiomakase@gmail.com,https://koiomakase.square.site/
